ID,Start,End,Speaker,Text
1,00:24,00:26,Speaker mic00,I don't know.
2,00:26,00:27,Speaker mic00,I want to do it now.
3,01:27,01:30,Speaker mic00,I just don't like that.
4,01:30,01:35,Speaker mic00,I don't like another one or I want to report all the cells.
5,01:40,01:55,Speaker mic00,I'm not trying to have a second.
6,02:11,02:13,Speaker mic00,I haven't smoked in a very long time.
7,02:19,02:24,Speaker mic00,"Oh no, I did um I did a couple times out there."
8,02:26,02:32,Speaker mic00,Today's like a two colors.
9,02:35,02:36,Speaker mic00,No.
10,02:36,02:38,Speaker mic00,"No, no, we need to."
11,02:38,02:40,Speaker mic00,Uh there was like a couple of one there.
12,02:40,02:42,Speaker mic00,So I took a couple of things.
13,02:46,02:48,Speaker mic00,Uh in the uh control colour.
14,02:50,02:52,Speaker mic00,Is that P is in there?
15,02:53,02:53,Speaker mic00,"Okay, I don't know."
16,02:55,02:58,Speaker mic00,That's all right.
17,03:06,03:11,Speaker mic00,"Yeah, I'm not gonna make it like a reference."
18,03:11,03:14,Speaker mic00,You guys killed two CR8s today?
19,03:18,03:19,Speaker mic00,Oh great.
20,03:20,03:45,Speaker mic00,So also CRM.
21,05:33,05:37,Speaker mic00,Then I ran two hours of the session on the exact same picture.
22,05:46,06:03,Speaker mic00,"Oh yeah, okay, large V three start start transcribe."
23,06:04,06:11,Speaker mic00,Um and then we grab the OTAR Meteor.
24,06:11,06:13,Speaker mic00,"C Nart, yeah, oh there it is."
25,06:13,06:16,Speaker mic00,Perfect.
26,06:16,06:49,Speaker mic00,"Um, okay, let's just take all of these."
27,06:49,06:51,Speaker mic00,"Oh, I did a dumb."
28,06:51,06:54,Speaker mic00,Oh.
29,06:54,06:59,Speaker mic00,"Not really it's uh I had magical tinkering, which allows me to create the light."
30,07:01,07:04,Speaker mic00,"Well, you've still my gaggered one nonetheless."
31,07:04,07:08,Speaker mic00,"But I mean technically you gave me a better one, because this one only gives me a bright light of five feet."
32,07:08,07:10,Speaker mic00,Five foot break radius.
33,07:10,07:13,Speaker mic00,There you go.
34,07:13,07:19,Speaker mic00,But I could have actually made a light just using my magical tinkerings.
35,07:15,07:22,Speaker mic00,I have like five charges of those.
36,07:22,07:26,Speaker mic00,"Yeah, first of all, you can you learn how to do invest the spark of magic into mundane objects."
37,07:26,07:31,Speaker mic00,Use this ability and you must have thieves tools or arson tool in your hand.
38,07:31,07:38,Speaker mic00,Uh then you then touch a tiny unmagical object as an action and give it one of the following magical properties of your choice if there's certain ones.
39,07:47,07:59,Speaker mic00,"Or third, the object continuously emits your choice of an odor or non-verbal sound, winds, wave, chirping, or the the like chosen phenomena is perceivable up to 10 feet."
40,07:59,08:03,Speaker mic00,"And the fifth one, a static visual effect appears on one of the object surfaces."
41,08:03,08:10,Speaker mic00,"This effect can be a pictured up to 25 words, text lines or shapes, or make sure of these elements as you'd like."
42,08:14,08:16,Speaker mic00,So I can have like a hologram kind of feel.
43,08:16,08:16,Speaker mic00,That's pretty sick.
44,08:17,08:18,Speaker mic00,Just like an old effects.
45,08:19,08:20,Speaker mic00,That's it.
46,08:21,08:25,Speaker mic00,Stop pretty sick.
47,08:25,08:27,Speaker mic00,"Alright, how do I share this?"
48,08:28,08:32,Speaker mic00,Options.
49,08:34,08:35,Speaker mic00,"Oh, there it is."
50,08:35,08:36,Speaker mic00,Okay.
51,08:36,08:38,Speaker mic00,Uh anyone with the link?
52,08:38,08:40,Speaker mic00,Create a link.
53,10:01,10:11,Speaker mic00,Sweet.
54,10:16,10:19,Speaker mic00,How do I edit album?
55,10:19,10:20,Speaker mic00,"Oh, okay."
56,10:20,10:23,Speaker mic00,Change order.
57,10:25,10:25,Speaker mic00,Okay.
58,10:40,10:43,Speaker mic00,"If if yeah, don't worry with the amount of damage he was doing."
59,10:43,10:45,Speaker mic00,That was crazy actually.
60,12:32,12:33,Speaker mic00,Wow.
61,12:37,12:39,Speaker mic00,North American house if I was actually real.
62,13:00,13:01,Speaker mic00,No.
63,13:01,13:02,Speaker mic00,She's got hair.
64,14:52,14:55,Speaker mic00,Horse off the structural lightning.
